場所名稱,場所地址,場所類型,AED放置地點,管理員姓名,連絡電話,設置日期,保固期限,經度,緯度
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學衛生保健組,陳方曼,03-5713769,099/12/16,101/12/16,24.7963498,120.9950069
臺灣新竹地方法院,新竹市北區中正路136號,法院,刑事報到處前,張右旻,035210022＃145,102/09/16,103/12/31,24.8081441,120.9676385
臺灣新竹地方法院公證大樓,新竹市北區中正路146號,法院,公證大樓一樓拍賣室,張右旻,035210022＃145,102/09/16,103/12/31,24.808701,120.967245
太平洋崇光百貨股份有限公司新竹分公司,新竹市東區民族路2號,百貨業,SOGO新竹站前店1樓,賴欣妮,03-522-7000#5908,102/10/23,108/10/31,24.8030583,120.9720189
太平洋崇光百貨股份有限公司新竹巨城分公司,新竹市東區中央路239號,百貨業,SOGO新竹BIGCITY店1樓,劉佳奇,03-6200000#6508,102/10/24,108/10/31,24.8096249,120.9758738
晶元光電股份有限公司,新竹市北區新竹科學園區力行路10號,其他場所,八樓,郭曉菁,03-5678000,103/07/29,109/07/29,24.7816461,121.0059154
晶元光電股份有限公司,新竹市北區新竹科學園區力行五路5號,其他場所,三樓,郭曉菁,35678000,103/07/29,109/07/29,24.7816461,121.0059154
國立新竹女子高級中學,新竹市東區中華路二段270號,高中職,健康中心門口,李文如,03-5456611#304,103/01/08,109/01/07,24.8047755,120.9756282
國賓大飯店(股)公司新竹分公司,新竹市東區中華路二段188號,飯店,12F櫃檯,飯店大廳值勤經理,03-515-1111#3505,102/07/01,105/06/30,24.8063443,120.978093
新竹市文化局,新竹市北區東大路2段15巷1號,其他場所,本局一樓服務台,陳玉君,03-5319756#222,102/07/31,108/06/30,24.811356,120.968914
新竹老爺酒店,新竹市東區光復路一段227號,旅館,光復路一段227號,周賢文,03-5631285*262,101/04/01,106/04/01,24.7818819,121.0206846
新竹市立香山游泳池,新竹市香山區頂埔路21號,體育館(如小巨蛋),新竹市立香山游泳池,許凱威,03-5621138,102/08/01,108/08/01,24.798243,120.9500274
誠品生活新竹店,新竹市東區信義街68號3F,商場,3F服務台,黎世傑,03-527-8907*9,102/08/20,107/08/20,24.8030371,120.9705422
新竹市殯葬管理所,新竹市北區成德路132號,殯儀館,生命紀念園區追思園管理員室,方永樓,03-5220179轉201,102/10/01,108/09/30,24.793402,120.9567588
新竹市立體育館,新竹市東區公園路295號,體育館(如小巨蛋),新竹市立體育館一樓大門服務台左後方,許凱威,03-5621138,102/08/01,108/08/01,24.799481,120.979054
國立新竹高商,新竹市東區學府路128號,高中職,體育館內,許智偉,035722150分機310,103/01/08,107/01/08,24.7958778,120.9844259
新竹市香山區虎林國民小學,新竹市香山區延平路二段78號,國小,健康中心,張蔓菁,03-5384033,102/10/28,108/06/28,24.8052582,120.9410568
新竹市世界高級中學,新竹市東區光復路一段257號,高中職,新竹市世界高級中學,彭煥樹,03-5783271-118,102/12/02,109/12/01,24.7807043,121.0198068
晶元光電股份有限公司,新竹市北區新竹科學園區力行路26號,其他場所,1樓梯廳,郭曉菁,03-5678000,103/07/29,109/07/29,24.7816461,121.0059154
晶元光電股份有限公司,新竹市北區新竹科學園區園區二路48號1樓,其他場所,三樓大門旁,劉家玲,03-5678000*133885,103/07/29,109/07/29,24.7816461,121.0059154
環球新竹世博店,新竹市東區公道五路三段8號,商場,服務台對面,牛建平,03-5717799#7011,103/09/11,107/08/01,24.8214477,120.9808619
煙波大飯店股份有限公司明湖分公司,新竹市東區明湖路775號,飯店,煙波大飯店俱樂部,陳怡鈞,987001821,102/12/02,108/06/01,24.7730411,120.972051
國立新竹高級工業職業學校,新竹市東區中華路二段二號,高中職,行政大樓一樓中央穿堂旁(教官室),陳嘉慧,911178829,102/12/16,106/12/16,24.809448,120.9830404
國立新竹教育大學,新竹市東區南大路521號,大專院校,學生活動中心,張麗華,03-5213132,103/02/10,109/02/10,24.7945248,120.9650979
一品大觀社區,新竹市東區八德路233號,其他場所,新竹市東區八德路233號,陳元偉,955428652,103/04/02,108/04/02,24.8034673,120.9855276
好市多股份有限公司新竹分公司,新竹市東區慈雲路188號,賣場,3樓藥局收銀機檯旁,張惠敏,5638000-205,102/10/23,108/10/22,24.793209,121.013193
好市多股份有限公司新竹分公司,新竹市東區慈雲路188號,賣場,賣場1樓收銀區前,張惠敏,5638000-205,102/10/23,108/10/22,24.793209,121.013193
新竹市北區衛生所,新竹市北區國華街69號1樓,其他場所,北區衛生所服務台,吳秀芬,03-5353969*108,101/07/27,102/07/27,24.8162997,120.9703457
國立科學工業園區實驗高級中學,新竹市東區介壽路300號,高中職,健康中心前,游彰億,03-5777011 ext.244,103/02/03,104/08/31,24.7786201,121.019041
新竹市稅務局,新竹市東區中央路112號,其他場所,新竹市稅務局1樓全功能服務檯前,林俊明,03-5225161#148,102/06/11,107/06/17,24.80633,120.9698846
新竹市東區高峰國民小學,新竹市東區東區高翠路332巷2號,國小,高峰國小大門警衛室內,鄭儀華,(03)5626909-212,103/02/19,108/02/19,24.7797135,120.9835264
新竹市東區關東國民小學,新竹市東區關東路53號,國小,學校警衛室,謝佳玟,03-5775645分機205,103/02/19,105/03/30,24.7840474,121.0222036
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學北門收費亭,陳方曼,03-5713769,102/03/01,107/03/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學工程一館,陳方曼,03-5713769,102/11/01,107/11/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學旺宏館,陳方曼,03-5713769,102/03/01,107/03/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學清華會館,陳方曼,03-5713769,102/02/05,108/02/05,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學台達館,陳方曼,03-5713769,102/11/01,107/11/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學小吃部,陳方曼,03-5713769,102/03/01,107/03/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學水木生活中心,陳方曼,03-5713769,101/11/01,106/11/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學游泳池,陳方曼,03-5713769,101/11/01,106/11/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學體育館,陳方曼,03-5713769,102/11/01,107/11/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學一區管理中心(義齋),陳方曼,03-5713769,102/08/01,107/08/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學二區管理中心(禮齋),陳方曼,03-5713769,102/08/01,107/08/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學駐警隊,陳方曼,03-5713769,102/03/01,107/03/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學醫環館,陳方曼,03-5713769,102/11/01,107/11/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學生科二館,陳方曼,03-5713769,102/11/01,107/11/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學三區管理中心(雅齋),陳方曼,03-5713769,102/08/01,107/08/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學人社館,陳方曼,03-5713769,102/11/01,107/11/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學南門收費亭,陳方曼,03-5713769,102/03/01,107/03/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學行政大樓,陳方曼,03-5713769,102/03/01,107/03/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立經華大學校友體育館,陳方曼,03-5713769,102/11/01,107/11/01,24.7963498,120.9950069
新竹市北區北門國民小學,新竹市北區水田街33號,國小,中正路警衛室,,,,,24.8136446,120.9660225
新竹市立育賢國民中學,新竹市東區新竹市南大路569號,國中,警衛識室,林麗珠,952340200,103/02/19,108/02/18,24.7901418,120.9656076
新竹市東區戶政事務所,新竹市東區民族路40-1號,其他場所,新竹市東區戶政事務所民眾等候區,曾瑞生,952520703,103/01/21,108/01/20,24.8051904,120.9732363
元培科技大學,新竹市香山區元培街306號,大專院校,東側門警衛室,蘇憶涵,03-6102246,103/02/24,108/02/24,24.7777953,120.9404076
元培科技大學,新竹市香山區元培街306號,大專院校,元培科技大學,蘇憶涵,03-6102246,102/11/07,107/11/07,24.7777953,120.9404076
新竹市關東公有零售市場,新竹市東區關東路23巷1-1號,賣場,市場辦公室,林月銀,932192586,103/01/18,106/01/18,24.7824371,121.0224125
新竹市北區戶政事務所,新竹市北區國華街69號二樓,其他場所,北區戶政事務所服務台旁,何依蓉,03-5152020#500,103/01/29,108/01/29,24.8162997,120.9703457
新竹市立竹光國中,新竹市北區和平路1號,國中,警衛室,張雅瑜,910390646,103/02/18,105/02/18,24.8072882,120.9555983
財團法人國家實驗研究院國家奈米元件實驗室,新竹市東區新竹市展業一路二十六號,其他場所,實驗棟二樓監控室,林清文,03-5726100-7745,103/01/03,108/01/03,24.7849727,121.000623
科技部新竹科學工業園區管理局,新竹市東區新竹市園區一路4號,其他場所,科技部新竹科學工業園區管理局環境教育館,謝玉健,03-5777229轉2339,103/04/10,108/04/10,24.78678,121.0067617
新竹市北區西門國小,新竹市北區北大路450號,國小,健康中心內,洪靖惠,5222492*2516,103/02/20,108/02/20,24.8026949,120.9596744
新竹市龍山國小,新竹市東區光復路一段574號,國小,警衛室,曾翠華,035774287#122,103/02/19,104/02/19,24.7893476,121.0073228
新竹巿東區三民國民小學,新竹市東區自由路66號,國小,本校大門右側警衛室內,曾文祥,03-5326345*15,103/02/27,105/04/30,24.8126349,120.9814029
新竹市北區民富國小,新竹市北區西大路561號,國小,新竹市民富國小警衛室,許億如.顧兆英,912237154,103/02/12,105/02/12,24.8084101,120.9605054
新竹市立曙光女子高級中學,新竹市東區北大路61號,高中職,健康中心,陳怡心,0985-535169,103/04/03,108/04/03,24.811149,120.9728262
新竹市立三民國民中學,新竹市東區自由路95巷15號,國中,正門警衛室,彭瓘惠,03-5339825#124,103/02/18,105/02/18,24.8119248,120.9802815
新竹市私立光復高級中學,新竹市東區光復路2段153號,高中職,教官室,陳惠雪,03-5753539,103/03/20,108/03/20,24.7983869,120.9940564
新竹市立內湖國民中學,新竹市香山區五福路一段12號,國中,大門口警衛室,張雅惠,035373484*33,103/02/21,105/02/20,24.7424734,120.9111404
新竹市立南華國民中學,新竹市北區海濱路55號,國中,新竹市立南華國中學務處二辦公室,彭夢潔,35366451,103/02/21,104/02/21,24.8440556,120.9273323
新竹市中華大學,新竹市香山區五福路二段707號,大專院校,新竹市中華大學男三宿1樓萊爾富大門旁,陳逸蓁,35186161,102/09/30,104/09/30,24.7569467,120.9526109
新竹市東區東園國小,新竹市東區園後街25號,國小,警衛室內,陳姵如,03-5712496-8613,103/02/21,108/02/21,24.8000594,120.9850746
新竹市立光華國中,新竹市北區光華北街10號,國中,值日室,黃律馨,035316605-129,103/02/20,108/02/20,24.8179689,120.9738554
新竹市立建華國中,新竹市東區學府路2號,國中,建華國中警衛室,吳欣蒨,03-5238075*123,103/02/17,105/02/17,24.7939644,120.9767252
新竹市東區青草湖國民小學,新竹市東區明湖路1211號,國小,大門警衛室內,林淑慧,03-5200360*2033,103/04/04,108/04/04,24.7686541,120.9780134
國立交通大學,新竹市東區新竹市大學路1001號,大專院校,交通大學光復校區體育館,連婉如,03-5731906,100/12/15,105/12/15,24.7859852,120.9999097
新竹市立香山高級中學,新竹市香山區元培街124號,高中職,本校大門警衛室,戴鈺潔,5384332  #309,103/01/17,108/01/17,24.7851705,120.9303385
新竹市中央公有零售市場,新竹市北區新竹市北區西安街2巷2號,賣場,二樓辦公室入口牆壁上,陳家穎,961007999,103/04/01,108/01/23,24.803758,120.965306
新竹市東門公有零售市場,新竹市東區新竹市中正路75巷內,賣場,新竹市東門公有零售市場,林淑緣,35261950,103/01/23,108/01/23,24.8052339,120.9694961
新竹市建功高中,新竹市東區建功二路17號,高中職,學校正門-警衛室內,吳麗華,939736663,103/02/18,108/02/18,24.7980981,121.002946
新竹市立光武國中,新竹市東區光復路一段512號,國中,新竹市立光武國中警衛室,鄭惠智,035778784-601,103/02/21,107/02/21,24.7860605,121.011721
新竹市東區竹蓮國小,新竹市東區食品路226號,國小,竹蓮國小警衛室,廖珍珮,03-5223066-185,103/02/21,108/05/21,24.7959792,120.9741066
新竹市東區陽光國小,新竹市東區明湖路200號,國小,警衛室,邱美凌,975213862,103/02/24,108/02/24,24.7898278,120.967955
新竹市18尖山,新竹市東區新竹市博愛街5巷,直轄市、縣(市)政府主管之風景區,新竹市學府路128號,楊騏謙,5216121-262,103/05/23,104/05/22,24.796292,120.9871887
新竹市立大庄國小,新竹市香山區大庄路48號,國小,健康中心內,何品汶,03-5384035#611,103/05/23,108/05/23,24.789452,120.927164
新竹市北區南寮國民小學,新竹市北區新竹市北區東大路三段 465號,國小,本校警衛室,楊慧玲,5363448-823,103/02/18,108/02/17,24.8385486,120.9397702
新竹市富禮國民中學,新竹市香山區新竹市香山區富禮街16號,國中,警衛室,陳淑雯,035374793*606,103/02/21,108/02/20,24.764447,120.912856
新竹市北區載熙國小,新竹市北區新竹市東大路二段386號,國小,警衛室,陳姵蓉,03-5316675-134,103/02/21,108/02/21,24.8195322,120.9623214
新竹市立公園游泳池,新竹市東區公園路259號,體育館(如小巨蛋),新竹市立公園游泳池,許凱威,03-5621138,103/06/03,105/05/01,24.8020112,120.9803757
遠東金士頓科技股份有限公司,新竹市東區力行一路1-5號,其他場所,B1餐廳門口,溫詩雲,03-5641539-6785,102/12/01,107/12/01,24.7712513,121.0175225
愛爾蘭商金士頓國際科技股份有限公司台灣分公司,新竹市東區力行一路1-2號3樓,其他場所,系通大樓3F入口,溫詩雲,03-5641539-6785,103/03/05,108/03/05,24.7718083,121.0185227
新竹市立培英國中,新竹市東區學府路4號,大專院校,健康中心,王賀平,03-57213015轉32,103/03/03,105/05/20,24.7943145,120.978035
豐田桃苗汽車南新竹廠,新竹市香山區新竹市經國路123號,其他場所,兒童遊戲間旁的牆壁上,黃展威,928221963,103/07/18,108/07/18,24.7970969,120.9528977
新竹市立虎林國民中學,新竹市香山區延平路2段76號,機場,本校健康中心前,霍定芬,988239004,103/02/13,108/02/13,24.8052619,120.9419437
新竹國小,新竹市東區興學街106號,國小,警衛室,陳慶怡,939295823,103/03/31,105/03/31,24.7968093,120.966368
新竹市立動物園,新竹市東區公園路279號,直轄市、縣(市)政府主管之風景區,票房,蔡顯忠,936650247,103/01/23,108/01/23,24.8010707,120.9794979
新竹市立動物園,新竹市東區公園路279號,直轄市、縣(市)政府主管之風景區,出口辦公室,蔡顯忠,936650247,103/01/23,108/01/23,24.8010707,120.9794979
新竹市北區舊社國民小學,新竹市北區金竹路99號,國小,新竹市北區舊社國民小學,鄭淑燕,35342022,103/02/24,108/02/23,24.8229427,120.9735926
新竹市身心障礙福利服務中心(向日葵大樓),新竹市東區竹蓮街6號,其他場所,1樓大廳,范仁豪,03-5623685分機132,103/01/27,108/01/26,24.7969551,120.972713
工業技術研究院,新竹市東區光復路二段321號,其他場所,會客室,李佳蓉,03-5918149,103/03/10,108/10/31,24.8004074,120.9883064
漢民科技竹科分公司,新竹市東區新竹市科學園區研新一路18號,其他場所,4F走道,張雅婷,982567697,102/02/19,107/02/18,24.7757213,120.9943551
長源汽車新竹營業所,新竹市香山區中華路4段561號,其他場所,顧客休息室,林振宏,03-5389811,103/08/21,109/08/21,24.789742,120.934183
TOYOTA新竹廠,新竹市東區中華路二段33號,其他場所,顧客休息室,邱柏銘,928138527,103/09/11,106/09/11,24.8088365,120.9826966
新竹市香山區香山國小,新竹市香山區牛埔東路260號,國小,守衛室,黃嘉鈴.紀雅玲,5307763,103/02/21,108/02,24.7963617,120.9440246
新竹市立新科國民中學,新竹市東區光復路一段89巷88號,國中,警衛室,張雅媗,03-6686387*6128,103/02/21,105/01/01,24.7802672,121.0241642
新竹市東區衛生所,新竹市東區新竹市東區民族路40-2號,大專院校,東區衛生所門診候診室,戴淑婉,03-5236158,102/10/01,104/07/26,24.8054412,120.9736129
玄奘大學,新竹市香山區新竹市玄奘路48號,大專院校,學生宿舍1樓,梁靜予,5302255-6136,103/09/25,108/09/25,24.7743486,120.943289
玄奘大學,新竹市香山區新竹市玄奘路48號,大專院校,善導活動中心1樓,梁靜予,5302255-6136,103/09/25,108/09/25,24.7743486,120.943289
交通大學光復校區浩然圖書館,新竹市東區大學路1001號,大專院校,交通大學光復校區浩然圖書館,連婉如,03-5731906,103/08/21,108/08/21,24.7890674,120.9992634
交通大學光復校區戶外籃球場,新竹市東區大學路1001號,大專院校,交通大學光復校區戶外籃球場,連婉如,03-5731906,103/08/21,108/08/21,24.7890674,120.9992634
交通大學光復校區游泳池,新竹市東區大學路1001號,大專院校,交通大學光復校區游泳池,連婉如,03-5731906,103/08/21,108/08/21,24.7890674,120.9992634
交通大學光復校區研一舍,新竹市東區大學路1001號,大專院校,交通大學光復校區研一舍,連婉如,03-5731906,103/08/21,108/08/21,24.7890674,120.9992634
交通大學光復校區舊羽球館,新竹市東區大學路1001號,大專院校,交通大學光復校區舊羽球館,連婉如,03-5731906,103/08/21,108/08/21,24.7890674,120.9992634
交通大學光復校區女二舍餐廳,新竹市東區大學路1001號,大專院校,交通大學光復校區女二舍餐廳,連婉如,03-5731906,103/08/21,108/08/21,24.7890674,120.9992634
交通大學博愛校區生科二館,新竹市東區博愛街75號,大專院校,交通大學博愛校區生科二館,連婉如,03-5731906,103/08/21,108/08/21,24.7983471,120.98331
國立新竹高級中學,新竹市東區學府路36號,高中職,新民樓一樓,莊惠名,03-5736672,100/11/11,104/12/01,24.7953478,120.9805655
遠東百貨股份有限公司新竹分公司,新竹市東區西大路323號,百貨業,6F客服中心旁,王捷龍,0922-816585,102/08/29,105/08/31,24.8019349,120.9648377
新竹市立成德高中,新竹市北區崧嶺路128巷38號,高中職,校門口警衛室,劉凡萍,035258748*312,103/08/15,103/12/31,24.7909191,120.953335
新竹客運新竹總站,新竹市東區中華路二段471號,轉運站,站內候車室,連偉盛,912239089,103/04/22,106/04/22,24.80126,120.970554
臺灣新竹地方法院檢察署,新竹市北區中正路136號,其他場所,為民服務中心正對面,黃耀賢,03-5235894,102/11/15,106/11/14,24.8081441,120.9676385
遠東巨城購物中心股份有限公司新竹分公司,新竹市北區中央路229號,商場,一樓大廳,何濟麟,919915757,102/11/13,107/11/13,24.8094861,120.974721
遠東巨城購物中心股份有限公司新竹分公司,新竹市北區中央路229號,商場,四樓美食街,何濟麟,919915757,102/11/13,107/11/13,24.8094861,120.974721
交通部台灣鐵路管理局臺北運務段新竹站,新竹市東區中華路2段445號,台鐵車站,一月台,張美琴,03-5237443,103/07/30,108/07/30,24.8016432,120.9716955
交通部臺灣鐵路管理局臺北運務段新竹站,新竹市東區中華路2段445號,台鐵車站,候車大廳,張美琴,03-5237443,103/07/30,108/07/30,24.8016432,120.9716955
國立交通大學光復校區13舍,新竹市東區大學路1001號,大專院校,國立交通大學光復校區 體育館,連婉如,03-5731906,100/12/15,104/12/15,24.7890674,120.9992634
國立交通大學光復校區,新竹市東區大學路1001號,大專院校,國立交通大學光復校區 行政大樓一樓大廳,連婉如,03-5731906,100/12/15,104/12/15,24.7890674,120.9992634
交通大學博愛校區,新竹市東區新竹市博愛街75號,大專院校,交通大學博愛校區生科院教學中心一樓,連婉如,03-5731906,100/12/15,104/12/15,24.7983471,120.98331
元培科技大學,新竹市香山區新竹市元培街306號,大專院校,元培科技大學光恩樓1樓,蘇憶涵,03-6102246,100/10/25,105/10/25,24.7777953,120.9404076
新竹市稅務局,新竹市東區中央路112號,其他場所,新竹市稅務局1樓全功能服務檯前,林俊明,03-5225161#148,102/06/11,107/06/17,24.80633,120.9698846
玄奘大學,新竹市香山區新竹市玄奘路48號,大專院校,圖資大樓2樓,梁靜予,5302255-6136,102/10/08,107/10/07,24.7743486,120.943289
交通部台灣鐵路管理局臺北運務段新竹站,新竹市東區中華路2段445號,台鐵車站,一月台(值班站長室前),張美琴,03-5237443,102/04/29,105/05/02,24.8016432,120.9716955
環球新竹世博店,新竹市東區公道五路三段6號,商場,櫃台右側,牛建平,03-5717799#7011,102/06/14,107/06/14,24.8208947,120.9815724
威秀影城股份有限公司新竹巨城分公司,新竹市東區民權路176 號四樓之3,電影片映演場所(戲院、電影院),威秀影城四樓大廳,翁林汎,03-5346999#201,102/09/17,108/09/16,24.8098201,120.9743384
新光三越百貨股份有限公司新竹中華分公司,新竹市東區中華路二段190號,百貨業,1F服務台,曾啟明,963019467,102/01/28,107/01/27,24.8061085,120.9777429
新竹市私立磐石高級中學,新竹市北區西大路683號,高中職,高中部健康中心外牆上,張乃文,03-5223946#229,102/09/06,105/09/06,24.810662,120.9569592
新竹市私立磐石中學附設國中部,新竹市北區磐石路55號,國中,國中部健康中心外牆,王曉蓁,03-5223946#234,102/09/06,105/09/06,24.8091851,120.9565338
新竹大遠百威秀影城,新竹市東區西大路323號8F,電影片映演場所(戲院、電影院),8F大廳,蕭淑敏,03-5241166#201,102/10/01,108/09/30,24.8019349,120.9648377
香港商世界健身事業有限公司巨城分公司,新竹市東區中央路229號6樓,商場,櫃檯旁,廖郁芬,03-5438000,102/07/17,105/07/16,24.8094861,120.974721
世界健身俱樂部 新竹店,新竹市東區林森路273號2樓,健身房,2樓大門口處旁,廖惠玲,03-5234000,102/07/17,104/11/30,24.7975992,120.9623412
新竹巨城威秀影城,新竹市東區民權路176號4F之3,電影片映演場所(戲院、電影院),4F大廳,翁林汎,03-5346999#201,102/10/01,108/09/30,24.8098201,120.9743384
工業技術研究院,新竹市北區光復路2段321號,其他場所,6館,李佳蓉,03-5918149,102/04/23,107/04/23,24.8004074,120.9883064
空軍第四九九戰術戰鬥機聯隊,新竹市北區吉羊路1號,機場,醫務中隊,簡良宇,985950102,088/07/27,093/07/27,24.824542,120.954995
空軍第四九九戰術戰鬥機聯隊,新竹市北區吉羊路1號,機場,醫務中隊,簡良宇,985950102,090/12/21,095/12/21,24.824542,120.954995
新竹市議會,新竹市北區新竹市中正路122號,議會,議事大樓大門右側,張莉楨,03-5213281,103/01/24,108/10/01,24.8073513,120.968261
久元電子股份有限公司(園區廠),新竹市東區科學工業園區科技路五號,其他場所,久元電子門口外,黃惠琦,978381125,102/09/23,105/09/22,24.7816461,121.0059154
新竹市玻璃工藝博物館,新竹市東區新竹市東大路一段2號,直轄市、縣(市)政府主管之風景區,正門入口服務台旁,林日輝,562-6091#67,103/01/24,108/03/11,24.8012033,120.9781361
采鈺科技,新竹市東區篤行一路12號,其他場所,3F健康中心外走廊,黃素美,03-6668788轉120,104/12/31,104/12/31,24.7735196,121.0232457
新竹市香山戶政事務所,新竹市香山區牛埔路430號,其他場所,新竹市香山戶政事務所大門旁,李恬妏,03-5388639,103/01/24,108/01/24,24.7977581,120.942664
久元電子股份有限公司(一廠),新竹市東區埔頂路99巷17弄13號2樓,其他場所,2樓員工餐廳,魏金柱,930659564,105/09/12,105/09/12,24.795874,121.007431
久元電子股份有限公司(力行廠),新竹市東區科學工業園區力行路2號3樓,其他場所,3樓客乘電梯外左側,陳尚裕,985739525,105/09/12,105/09/12,24.7816461,121.0059154
新竹市影像博物館,新竹市東區中正路65號,電影片映演場所(戲院、電影院),影博館一樓大廳,涂淑敏,03-58285840-11,103/1/24,105/5,24.8049094,120.969593
新竹市香山衛生所,新竹市香山區牛埔路428號,其他場所,一樓門診廳,郭永婷,03-5388109,102/08/27,106/08/27,24.7976851,120.9428722
新竹市東區東門國民小學,新竹市東區新竹市民族路33號,國小,警衛室,張雅琳,918343089,103/02/18,108/02/18,24.8049301,120.9723226
新竹市文化局演藝廳,新竹市北區東大路二段17號,演藝廳,1F大廳服務台左側,曾憲文,03-5420121轉301,103/01/21,108/01/21,24.8119556,120.9682065
新竹市東區水源國小,新竹市東區仰德路11號,國小,健康中心,應友貞,939165801,103/02/18,108/02/20,24.8122907,121.0029766
新竹市科園國小,新竹市東區新竹市科學園路171號,國小,警衛室,謝素芬,6668421*115,103/02/19,108/02/19,24.7820058,121.0118819
正中日體育事業股份有限公司新竹分公司,新竹市北區建功二路63號,國小,地下一樓,王明樹,5723800,103/01/17,108/01/16,24.7991744,121.0032811
交大光復校區體育館,新竹市東區大學路1001號,大專院校,交大光復校區體育館,連婉如,03-5731906,100/12/15,105/12/15,24.7890674,120.9992634
宏齊科技股份有限公司(香山廠),新竹市香山區中華路五段522巷18號,其他場所,二樓客用電梯旁,李啟維,03-5399889#1533,103/06/30,109/06/30,24.7736258,120.9171308
新竹市環境保護局,新竹市北區海濱路240號,其他場所,一樓環境教育館,張哲彥,03-5368920#8022,103/10/09,108/10/09,24.8348051,120.916826
新竹市東區建功國民小學,新竹市東區建功一路104巷22號,國小,上校門警衛室,吳欣怡,03-5713447#811,103/04/10,105/05/31,24.8007091,120.999182
中強光電股份有限公司,新竹市東區力行路11號,其他場所,1F大廳,王加茵,03-5772000 #7677,102/11/01,107/10/31,24.7687905,121.0280905
新竹市香山區南隘國民小學,新竹市香山區新竹市香山區南隘路二段31號,國小,健康中心門口,江彥臻,928520031,103/12/25,106/12/25,24.7265956,120.9296288
新竹市香山區港南國民小學,新竹市香山區新竹市香山區海埔路171巷91號,機場,警衛室,陳碧英,912419047,103/09/15,108/09/14,24.814171,120.922848
新竹市香山區朝山國民小學,新竹市香山區中華路5段648巷126號,國小,學校警衛室,鍾嘉玲,03-5374304*105,103/12/26,105/01/01,24.7658411,120.9139765
