編號,中心名稱,負責人,住址,電話01,電話02,經度,緯度
1,新竹市私立杜曼托嬰中心,林怡蕙,新竹市東區科學園路107巷11號1樓,03-666-2480,,24.7845931,121.01152609999997
2,新竹市私立佳佳托嬰中心,徐秀琴,新竹市東區金竹路182號2樓,03-543-9745,,24.8241961,120.97153789999993
3,新竹市私立大象托嬰中心,張牡丹,新竹市北區武陵路179巷6號1樓,03-545-5336,03-545-5038,24.8219366,120.96833300000003
4,新竹市私立喬曼嘉托嬰中心,李嘉芬,新竹市東區明湖路648巷87號,03-529-3088,,24.7720749,120.96352049999996
5,新竹市私立安安托嬰中心,黃美枝,新竹巿北區四維路21巷25號1-2樓,03-526-1597,,24.7980341,120.96198300000003
6,新竹市私立智邦科技附設托嬰中心,張書涵,新竹市科學園區園區二路9號1樓,03-577-0270#3634、2981,,24.7816461,121.00591540000005
7,新竹市私立真愛托嬰中心,李麗鈴,新竹市東區光復路1段268巷12號1樓,03-577-6799,,24.78258,121.02065570000002
8,新竹市私立吉貝兒托嬰中心,謝振台,新竹市東區金山九街56號1.2樓,03-579-0335,,24.777431,121.02075100000002
9,新竹市私立慈耕托嬰中心,游麗珠,新竹巿北區民富街256號1樓,03-522-1672,03-526-7420,24.8041727,120.95795569999996
10,新竹市私立卡爾威特托嬰中心,藍莉青,新竹市東區建功一路59巷12號1樓,03-574-9777,,24.8006104,120.99619959999995
11,新竹市私立勁寶兒向日葵托嬰中心,蔡玉琴,新竹市北區武陵路36-31樓,03-531-8726,,24.8205934,120.9699554
12,新竹市私立傑尼爾托嬰中心,王勝樑,新竹市香山區香北路252號,03-538-2223,,24.7901213,120.92505879999999
13,新竹市私立微笑天空托嬰中心,王靜儀,新竹市金山北一街100號1-2樓,03-578-8099,,24.7771748,121.02428080000004
14,新竹市私立快樂寶貝托嬰中心,陳清洲,新竹市東大路2段230號1-3樓,03-535-7779,,24.8179999,120.96378400000003
15,新竹市私立小天使托嬰中心,黃郁雯,新竹市東區東南街188巷13號1樓,03-562-4358,,24.8004182,120.97222590000001
16,新竹市私立孟格爾托嬰中心,蔡孟柔,新竹市北區武陵路179巷6-3號1樓,03-545-5555,,24.8219366,120.96833300000003
17,新竹市私立荷蘭村托嬰中心,溫佳芸,新竹市北區武陵路175巷11-1號1樓,03-545-4005,,24.8221917,120.96615739999993
18,新竹市私立億格文國際托嬰中心,蘇評揮,新竹市公園路286號2樓,03-562-2828,,24.8029444,120.97919969999998
19,新竹市私立貝比兔托嬰中心,范少絹,新竹市北區光華二街12號,03-543-8102,,24.8170673,120.97446179999997
20,新竹市私立茱蒂園托嬰中心,曾月卿,新竹市光華街78巷1號1樓,03-535-0491,,24.8172094,120.97256760000005
21,新竹市私立寶兒托嬰中心,鄭瑛麒,新竹市水田街1號2樓,03-525-5718,,24.8115969,120.96552750000001
22,新竹市私立寶貝王國托嬰中心,葉俐辰,新竹市公道五路二段437號1-3樓,03-573-8088,,24.8038945,120.9952826
23,新竹市私立孟格爾托嬰中心國泰分園,彭斯廉,新竹市武陵路179巷10號1樓,03-545-5599,,24.822588,120.96821030000001
24,新竹市私立玉兒托嬰中心,黃玉蓮,新竹市科學園路113號1-2號,03-578-6588,,24.7841317,121.01124970000001
25,新竹市私立科瑞特托嬰中心,曾靖仁,新竹市經國路2段501巷10號1、2樓,03-524-3497,,24.8051974,120.95629639999993
26,新竹市私立育慈托嬰中心埔頂分園,曾浚雄,新竹市埔頂路245號1樓,03-567-8636,,24.79452,121.01141099999995
27,新竹市私立恩潔托嬰中心,熊承福,新竹市體育街32號1樓,03-562-7070,,24.8022254,120.98179749999997
28,新竹市私立園田嘉托嬰中心,李嘉芬,新竹市香山區牛埔東路33巷50號3樓,03-538-9131,,24.797867,120.95142629999998
29,新竹市私立湯姆熊托嬰中心,湯智能,新竹市東區科學園路107巷26號1-2樓,03-578-5880,,24.7862138,121.00979269999993
30,新竹市私立金安福托嬰中心,洪蓁翎,新竹市食品路134巷55號,03-562-2611,,24.7985541,120.97596220000003
31,新竹市私立雙子園托嬰中心,駱美珠,新竹市北區民生路211巷11號1樓,03-535-3698,,24.8113189,120.97702509999999
32,新竹市私立娃娃國托嬰中心,林慧玲,新竹市東區光復路一段343號,03-564-3563,,24.7828781,121.01770599999998
33,新竹市私立小天使托嬰中心經國分園,黃郁雯,新竹市經國路一段379巷15號1-2樓,03-545-6713,03-525-1168,24.814041,120.979555
34,新竹市私立珍寶托嬰中心,蔡世民,新竹市埔頂路127號1樓,03-577-3859,,24.7949581,121.00868400000002
35,新竹市私立玉兒托嬰中心科園分校,黃玉蓮,新竹市科學園路109號1-2樓,03-579-8798,,24.7842835,121.01116249999995
36,新竹市私立拉菲爾托嬰中心,向翊華,新竹市香山區浸水北街6-3號1-2樓,03-530-5319,03-539-0151,24.7999721,120.92464970000003
37,新竹市私立寶貝天使托嬰中心,林美玉,新竹市東區關東路23巷21號,03-579-0929,,24.7825184,121.02148999999997
38,新竹市私立嘉德琳托嬰中心,萬瑞琴,新竹市東區立鵬路89號,03-666-3862,,24.791052,121.0106518
39,新竹市私立貝比象托嬰中心,廖榮德,新竹市北區武陵路179巷6-1號,03-545-5336,,24.8219366,120.96833300000003
40,新竹市私立小太陽托嬰中心,胡斯瑋,新竹市東區西大路102巷2號及2號2樓之1,03-562-2390,,24.796866,120.97082999999998
41,新竹市私立巴掌仙子托嬰中心,林美吟,新竹市東區東光路35號1-2樓,03-571-2115,,24.8021972,120.9867782
42,新竹市私立育慈托嬰中心育芯分園,張芯汝,新竹市東區龍山東路202號1-2樓,03-668-6268,,24.7890341,121.01226559999998
43,台灣基督長老教會馬偕醫療財團法人附設新竹市私立馬偕托嬰中心,劉伯恩,新竹市建中路40號1樓,03-6119595#2570,,24.8005034,120.99461940000003
44,新竹市私立恩潔托嬰中心少年分園,熊苗芳,新竹市北區少年街43-1號1-2樓及45號1-2樓,03-525-0405,,24.8060024,120.95971839999993
45,新竹市私立愛兒堡國際音樂托嬰中心,夏立廉,新竹市東大路2段184號,03-532-2222,,24.8165101,120.96548400000006
46,新竹市私立小豆芽托嬰中心,劉麗娟,新竹市東區建美路27號1-2樓,03-574-9471,,24.8020614,120.99800460000006
47,新竹市私立愛澤托嬰中心,曾律芳,新竹市東區埔頂三路158號2樓,03-578-3288,,24.792345,121.00890400000003
48,新竹市私立育慈托嬰中心,張芯汝,新竹市東區埔頂三路77號,03-5795136,,24.7921345,121.00958450000007
49,新竹市私立艾貝比托嬰中心,洪亞鈴,新竹市東區光復路二段928號1-2樓,03-562-1164,,24.7909793,121.00414619999992
50,新竹市私立婕之寶托嬰中心,周瑜婕,新竹市錦華街18巷23號2樓,03-532-7961,,24.8098931,120.97330299999999
51,新竹市私立鴨鴨托嬰中心,潘生生,新竹市埔頂路586號2樓,03-577-0083,,24.7917082,121.01747950000004
52,新竹市私立玉兒托嬰中心龍山分校,黃玉蓮,新竹市科學園路111號1-2樓,03-563-8099,,24.7842159,121.01119540000002
53,新竹市私立長春藤托嬰中心,楊彰文,新竹市東光路29號1-2樓,03-572-8439,,24.8020093,120.98686309999994
54,新竹市私立小丸子托嬰中心,陳瑞雲,新竹市育英路27號1-2樓,03-528-1019,,24.7976195,120.95986040000003
55,新竹市私立堡貝嘉托嬰中心,曾采慧,新竹市中華路四段178巷69、71號1-2樓,03-538-0329,,24.7966204,120.94946240000002
56,新竹市私立心搖籃托嬰中心,邱芃錡,新竹市四維路63號2樓,03-5280512,,24.8005156,120.9610715
